ticker,caldt,crsp_fundno,mtna,mret,mnav
VHGEX,31/08/1995,31326,26.347,,10.11
VHGEX,29/09/1995,31326,32.74,0.02275,10.33
VHGEX,31/10/1995,31326,35.97,-0.026112,10.08
VHGEX,30/11/1995,31326,39.307,0.032771,10.4
VHGEX,29/12/1995,31326,42.203,0.019276,10.53
VHGEX,31/01/1996,31326,47.694,0.019943,10.74
VHGEX,29/02/1996,31326,51.352,0.020484,10.96
VHGEX,29/03/1996,31326,54.639,0.020985,11.19
VHGEX,30/04/1996,31326,59.991,0.033065,11.56
VHGEX,31/05/1996,31326,62.644,0.00519,11.62
VHGEX,28/06/1996,31326,63.629,-0.007745,11.53
VHGEX,31/07/1996,31326,89.605,-0.033825,11.14
VHGEX,30/08/1996,31326,93.891,0.018851,11.35
VHGEX,30/09/1996,31326,96.702,0.020264,11.58
VHGEX,31/10/1996,31326,99.423,0.01209,11.72
VHGEX,29/11/1996,31326,105.807,0.044369,12.24
VHGEX,31/12/1996,31326,106.557,-0.005559,11.84
VHGEX,31/01/1997,31326,109.572,0.001689,11.87
VHGEX,28/02/1997,31326,113.692,0.019393,12.09
VHGEX,31/03/1997,31326,113.305,-0.019024,11.86
VHGEX,30/04/1997,31326,114.672,0.005902,11.93
VHGEX,30/05/1997,31326,122.905,0.059514,12.64
VHGEX,30/06/1997,31326,128.955,0.038766,13.13
VHGEX,31/07/1997,31326,133.811,0.033511,13.57
VHGEX,29/08/1997,31326,127.99,-0.044952,12.96
VHGEX,30/09/1997,31326,134.126,0.042438,13.51
VHGEX,31/10/1997,31326,128.44,-0.053294,12.79
VHGEX,28/11/1997,31326,126.685,-0.016419,12.58
VHGEX,31/12/1997,31326,126.355,0.006194,11.98
VHGEX,30/01/1998,31326,126.482,0.010851,12.11
VHGEX,27/02/1998,31326,134.011,0.063584,12.88
VHGEX,31/03/1998,31326,140.944,0.045031,13.46
VHGEX,30/04/1998,31326,143.482,0.016345,13.68
VHGEX,29/05/1998,31326,141.617,-0.011696,13.52
VHGEX,30/06/1998,31326,137.936,-0.024408,13.19
VHGEX,31/07/1998,31326,133.972,-0.022745,12.89
VHGEX,31/08/1998,31326,111.878,-0.150504,10.95
VHGEX,30/09/1998,31326,113,0.016438,11.13
VHGEX,30/10/1998,31326,120.9,0.08805,12.11
VHGEX,30/11/1998,31326,126.7,0.051197,12.73
VHGEX,31/12/1998,31326,128.2,0.02943,12.06
VHGEX,29/01/1999,31326,126,-0.003317,12.02
VHGEX,26/02/1999,31326,123.9,-0.008319,11.92
VHGEX,31/03/1999,31326,129.3,0.051174,12.53
VHGEX,30/04/1999,31326,142.2,0.098962,13.77
VHGEX,28/05/1999,31326,139.3,-0.028322,13.38
VHGEX,30/06/1999,31326,147.4,0.043348,13.96
VHGEX,30/07/1999,31326,152.7,0.014327,14.16
VHGEX,31/08/1999,31326,156.4,-0.007768,14.05
VHGEX,30/09/1999,31326,157.9,-0.022064,13.74
VHGEX,29/10/1999,31326,125.5,0.026201,14.1
VHGEX,30/11/1999,31326,132.6,0.019858,14.38
VHGEX,31/12/1999,31326,144.8,0.056307,14.14
VHGEX,31/01/2000,31326,142.8,-0.044554,13.51
VHGEX,29/02/2000,31326,139,-0.032568,13.07
VHGEX,31/03/2000,31326,149.2,0.06886,13.97
VHGEX,28/04/2000,31326,146.8,-0.013601,13.78
VHGEX,31/05/2000,31326,144.8,-0.005806,13.7
VHGEX,30/06/2000,31326,148.8,0.028467,14.09
VHGEX,31/07/2000,31326,145.2,-0.02626,13.72
VHGEX,31/08/2000,31326,149,0.037901,14.24
VHGEX,29/09/2000,31326,142.1,-0.04073,13.66
VHGEX,31/10/2000,31326,140.4,0.00366,13.71
VHGEX,30/11/2000,31326,137.4,-0.017505,13.47
VHGEX,29/12/2000,31326,142.8,0.047988,12.62
VHGEX,31/01/2001,31326,144.2,0.025357,12.94
VHGEX,28/02/2001,31326,144.5,-0.00541,12.87
VHGEX,30/03/2001,31326,135.7,-0.061383,12.08
VHGEX,30/04/2001,31326,144.7,0.062914,12.84
VHGEX,31/05/2001,31326,148.4,0.015576,13.04
VHGEX,29/06/2001,31326,149,-0.014571,12.85
VHGEX,31/07/2001,31326,150.7,-0.015564,12.65
VHGEX,31/08/2001,31326,155.5,-0.008696,12.54
VHGEX,28/09/2001,31326,138.9,-0.117225,11.07
VHGEX,31/10/2001,31326,144,0.02168,11.31
VHGEX,30/11/2001,31326,153.8,0.057471,11.96
VHGEX,31/12/2001,31326,157.8,0.015873,11.58
VHGEX,31/01/2002,31326,164.4,0.007772,11.67
VHGEX,28/02/2002,31326,171.9,0.014567,11.84
VHGEX,28/03/2002,31326,192.5,0.059122,12.54
VHGEX,30/04/2002,31326,208.6,0.015152,12.73
